
sibs, false, 2054, 43, 1, 2
banco de portugal, true, -1, 46, 2, 2
novo banco, true, -7, 17, 4, 2
montepio, true, -17, 25, 2, 2

sibs, true, -47, 50, 5, 2
banco de portugal, true, -6, 31, 6, 2
novo banco, false, 418, 14, 1, 2
montepio, true, -58, 47, 4, 2

sibs, false, 5273, 2, 1, 2
banco de portugal, true, -96, 3, 5, 2
novo banco, true, -14, 30, 3, 2
montepio, true, -141, 5, 8, 2

sibs, false, 5171, 49, 1, 2
banco de portugal, true, -78, 34, 4, 2
novo banco, true, -24, 45, 3, 2
montepio, true, -91, 34, 5, 2



sibs, true, -11, 30, 5, 2
banco de portugal, true, -8, 48, 5, 2
novo banco, true, -9, 22, 2, 2
montepio, false, 3987, 30, 2, 2


sibs, true, -36, 20, 4, 2
banco de portugal, false, 9232, 37, 1, 2
novo banco, true, -53, 50, 3, 2
montepio, true, -3, 6, 5, 2

sibs, false, 4157, 43, 1, 2
banco de portugal, true, -33, 30, 2, 2
novo banco, true, -19, 30, 3, 2
montepio, true, -74, 42, 5, 2

sibs, false, 5235, 2, 1, 2
banco de portugal, true, -22, 20, 2, 2
novo banco, true, -36, 29, 2, 2
montepio, true, -8, 33, 2, 2

sibs, true, -29, 3, 3, 2
banco de portugal, true, -49, 47, 3, 2
novo banco, true, -11, 3, 4, 2
montepio, false, 9880, 41, 1, 2

sibs, true, -53, 9, 6, 2
banco de portugal, false, 15783, 2, 1, 2
novo banco, true, -20, 17, 5, 2
montepio, true, -77, 38, 6, 2

sibs, true, -27, 23, 3, 2
banco de portugal, true, -5, 23, 1, 2
novo banco, false, 8049, 7, 2, 2
montepio, true, -47, 38, 4, 2
sibs, true, -5, 16, 2, 2
banco de portugal, true, -63, 16, 4, 2
novo banco, true, -85, 5, 5, 2
montepio, false, 5872, 12, 3, 2
sibs, false, 2406, 20, 2, 2
banco de portugal, true, -47, 3, 3, 2
novo banco, true, -18, 10, 2, 2
montepio, true, -36, 47, 2, 2
sibs, false, 4952, 26, 2, 2
banco de portugal, true, -31, 11, 5, 2
novo banco, true, -4, 12, 2, 2
montepio, true, -1, 42, 1, 2
sibs, true, -18, 8, 4, 2
banco de portugal, true, -50, 35, 3, 2
novo banco, false, 10586, 9, 2, 2
montepio, true, -3, 45, 4, 2
sibs, false, 1330, 32, 1, 2
banco de portugal, true, -6, 40, 4, 2
novo banco, true, -31, 29, 2, 2
montepio, true, -10, 27, 2, 2
sibs, true, -11, 8, 1, 2
banco de portugal, true, -27, 32, 4, 2
novo banco, true, -5, 44, 2, 2
montepio, false, 140, 14, 1, 2
sibs, true, -47, 10, 4, 2
banco de portugal, false, 8336, 12, 2, 2
novo banco, true, -3, 36, 4, 2
montepio, true, -53, 12, 3, 2
sibs, true, -149, 32, 8, 2
banco de portugal, true, -6, 36, 4, 2
novo banco, true, -34, 47, 3, 2
montepio, false, 5712, 48, 3, 2
sibs, true, -45, 36, 7, 2
banco de portugal, true, -26, 6, 4, 2
novo banco, false, 2047, 42, 1, 2
montepio, true, -71, 9, 4, 2
sibs, false, 1413, 2, 3, 2
banco de portugal, true, -17, 8, 4, 2
novo banco, true, -36, 7, 4, 2
montepio, true, -22, 25, 4, 2
sibs, true, -115, 36, 6, 2
banco de portugal, true, -51, 44, 3, 2
novo banco, false, 4609, 24, 3, 2
montepio, true, -4, 49, 3, 2
sibs, true, -3, 2, 7, 2
banco de portugal, true, -48, 37, 7, 2
novo banco, true, -6, 32, 4, 2
montepio, false, 7172, 45, 3, 2
sibs, true, -22, 18, 4, 2
banco de portugal, true, -30, 14, 5, 2
novo banco, false, 5626, 6, 1, 2
montepio, true, -6, 37, 5, 2
sibs, false, 1002, 14, 4, 2
banco de portugal, true, -17, 48, 5, 2
novo banco, true, -27, 2, 3, 2
montepio, true, -50, 4, 5, 2
sibs, false, 11259, 1, 4, 2
banco de portugal, true, -20, 44, 3, 2
novo banco, true, -8, 44, 2, 2
montepio, true, -33, 15, 4, 2
sibs, false, 14058, 7, 2, 2
banco de portugal, true, -65, 25, 4, 2
novo banco, true, -28, 38, 3, 2
montepio, true, -65, 16, 6, 2
sibs, true, -24, 15, 2, 2
banco de portugal, true, -95, 14, 6, 2
novo banco, false, 13924, 35, 2, 2
montepio, true, -42, 7, 5, 2
sibs, true, -4, 15, 1, 2
banco de portugal, true, -24, 46, 2, 2
novo banco, false, 4131, 34, 3, 2
montepio, true, -38, 32, 2, 2
sibs, false, 727, 1, 1, 2
banco de portugal, true, -17, 46, 4, 2
